,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,12,,,,,,,58987,,,,,,,,,,,,
1,1,22XPB0991,Taping,PAC03,D4,ECASD40J107M015K00+C001/K803,,6495,27-OCT-22,27-OCT-22,27-OCT-22,,,,,Fraction Combine,,,,22XPB0991
2,2,22XPB0992,Taping,PAC03,D4,ECASD40J107M015K00+C001/K803,,3702,27-OCT-22,27-OCT-22,27-OCT-22,,,,,Fraction Combine,,,,22XPB0992
3,3,22XPB0993,Taping,PAC42,D4,ECASD41E156M040KA0+C001/K803,,3590,27-OCT-22,27-OCT-22,27-OCT-22,,,,,Fraction Combine,,,,22XPB0993
4,4,22XPB0994,Taping,PAC32,D4,ECASD41E336M040KA0+C001/K803,,7764,27-OCT-22,27-OCT-22,27-OCT-22,,,,,Fraction Combine,,,,22XPB0994
5,5,22XPB0995,Taping,PAC32,D4,ECASD41E336M040KA0+C001/K803,,6262,27-OCT-22,27-OCT-22,27-OCT-22,,,,,Fraction Combine,,,,22XPB0995
6,6,22XPB0996,Taping,PAC02,D6,ECASD60E477M4R5K00+C009/K803,,7864,27-OCT-22,27-OCT-22,27-OCT-22,,,,,Fraction Combine,,,,22XPB0996
7,7,22XPB0997,Taping,PAC05,D6,ECASD60J157M010K00+C001/K803,,8620,27-OCT-22,27-OCT-22,27-OCT-22,,,,,Fraction Combine,,,,22XPB0997
8,8,22XPB0998,Taping,PAC13,D4,ECASD41A336M025K00+C001/K803,,4158,27-OCT-22,27-OCT-22,27-OCT-22,,,,,Fraction Combine,,,,22XPB0998
9,9,22XPB0999,Taping,PAC10,D3,ECASD31D476M040KA0+SA02/K803,,3080,27-OCT-22,27-OCT-22,27-OCT-22,,,,,Fraction Combine,,,,22XPB0999
10,10,22XPB1001,Taping,PAC11,D9,ECASD90K107M010K00+C001/K803,,2208,27-OCT-22,27-OCT-22,27-OCT-22,,,,,Fraction Combine,,,,22XPB1001
11,11,22XPB1002,Taping,PAC01,D6,ECASD60D477M4R5K00+C001/K803,,3063,27-OCT-22,27-OCT-22,27-OCT-22,,,,,Fraction Combine,,,,22XPB1002
12,12,22XPB1003,Taping,PAC12,D9,ECASD91A157M010K00+C003/K803,,2181,27-OCT-22,27-OCT-22,27-OCT-22,,,,,Fraction Combine,,,,22XPB1003
